Algoritmo,10,100,500,1000,2000,5000,10000,
Prim Esparso,0.003459,0.033668,0.163259,0.330347,0.708742,1.205175,1.217702,
Prim Denso,0.000571,0.060572,1.649545,7.655250,44.350731,440.791592,2613.459205,
Kruskal Esparso,0.000042,0.000444,0.002540,0.004926,0.009948,0.024888,0.050299,
Kruskal Denso,0.000173,0.020199,0.531265,2.228759,9.411152,60.352133,263.560520,
